client,success,platform,time
1001,1,web,1690000000
1001,1,mobile,1690001000
1003,1,desktop,1690002000
1004,1,web,1690003000
1005,0,mobile,1690004000
1006,1,desktop,1690005000
1007,1,web,1690006000
1008,0,mobile,1690007000
1009,1,desktop,1690008000
1010,1,web,1690009000
1011,0,mobile,1690010000
1012,1,desktop,1690011000
1013,1,web,1690012000
1014,0,mobile,1690013000
1015,1,desktop,1690014000
1016,0,web,1690015000
1017,1,mobile,1690016000
1018,1,desktop,1690017000
1019,0,web,1690018000
1020,1,mobile,1690019000
1021,1,desktop,1690020000
1022,0,web,1690021000
1023,1,mobile,1690022000
1024,0,desktop,1690023000
1025,1,web,1690024000
1026,0,mobile,1690025000
1027,1,desktop,1690026000
1028,1,web,1690027000
1029,0,mobile,1690028000
1030,1,desktop,1690029000
1031,1,web,1690030000
1032,0,mobile,1690031000
1033,1,desktop,1690032000
1034,1,web,1690033000
1035,0,mobile,1690034000
1036,1,desktop,1690035000
1037,0,web,1690036000
1038,1,mobile,1690037000
1039,1,desktop,1690038000
1040,0,web,1690039000
1041,1,mobile,1690040000
1042,1,desktop,1690041000
1043,0,web,1690042000
1044,1,mobile,1690043000
1045,1,desktop,1690044000
1046,0,web,1690045000
1047,1,mobile,1690046000
1048,1,desktop,1690047000
1049,0,web,1690048000
1050,1,mobile,1690049000
